"game_ID","home_team","away_team","game_date"
3277453,"Utah Jazz","Phoenix Suns",2023-11-17
3277454,"Portland Trail Blazers","Los Angeles Lakers",2023-11-17
3277455,"LA Clippers","Houston Rockets",2023-11-17
3277445,"Charlotte Hornets","Milwaukee Bucks",2023-11-17
3277448,"Cleveland Cavaliers","Detroit Pistons",2023-11-17
3277449,"Toronto Raptors","Boston Celtics",2023-11-17
3277450,"San Antonio Spurs","Sacramento Kings",2023-11-17
1037771,"Charlotte Hornets","New York Knicks",2023-11-18
1037772,"New Orleans Pelicans","Minnesota Timberwolves",2023-11-18
1037773,"Chicago Bulls","Miami Heat",2023-11-18
1037774,"Milwaukee Bucks","Dallas Mavericks",2023-11-18
1037775,"San Antonio Spurs","Memphis Grizzlies",2023-11-18
1037776,"Golden State Warriors","Oklahoma City Thunder",2023-11-18
1037777,"Brooklyn Nets","Philadelphia 76ers",2023-11-19
1037778,"Indiana Pacers","Orlando Magic",2023-11-19
1037779,"Cleveland Cavaliers","Denver Nuggets",2023-11-19
1037780,"Toronto Raptors","Detroit Pistons",2023-11-19
1037781,"Dallas Mavericks","Sacramento Kings",2023-11-19
1037782,"Memphis Grizzlies","Boston Celtics",2023-11-19
1037783,"Utah Jazz","Phoenix Suns",2023-11-19
1037784,"Portland Trail Blazers","Oklahoma City Thunder",2023-11-19
1037785,"Los Angeles Lakers","Houston Rockets",2023-11-19
1037786,"Charlotte Hornets","Boston Celtics",2023-11-20
1037787,"Detroit Pistons","Denver Nuggets",2023-11-20
1037788,"Washington Wizards","Milwaukee Bucks",2023-11-20
1037789,"Chicago Bulls","Miami Heat",2023-11-20
1037790,"Minnesota Timberwolves","New York Knicks",2023-11-20
1037791,"New Orleans Pelicans","Sacramento Kings",2023-11-20
1037792,"San Antonio Spurs","LA Clippers",2023-11-20
1037793,"Golden State Warriors","Houston Rockets",2023-11-20
3277479,"Orlando Magic","Toronto Raptors",2023-11-21
3277480,"Atlanta Hawks","Indiana Pacers",2023-11-21
3277481,"Philadelphia 76ers","Cleveland Cavaliers",2023-11-21
3277482,"Phoenix Suns","Portland Trail Blazers",2023-11-21
3277483,"Los Angeles Lakers","Utah Jazz",2023-11-21
1037799,"Charlotte Hornets","Washington Wizards",2023-11-22
1037800,"Orlando Magic","Denver Nuggets",2023-11-22
1037801,"Atlanta Hawks","Brooklyn Nets",2023-11-22
1037802,"Boston Celtics","Milwaukee Bucks",2023-11-22
1037803,"Cleveland Cavaliers","Miami Heat",2023-11-22
1037804,"Indiana Pacers","Toronto Raptors",2023-11-22
1037805,"Houston Rockets","Memphis Grizzlies",2023-11-22
1037806,"Minnesota Timberwolves","Philadelphia 76ers",2023-11-22
1037807,"New Orleans Pelicans","Sacramento Kings",2023-11-22
1037808,"Oklahoma City Thunder","Chicago Bulls",2023-11-22
1037809,"San Antonio Spurs","LA Clippers",2023-11-22
1037810,"Phoenix Suns","Golden State Warriors",2023-11-22
1037811,"Portland Trail Blazers","Utah Jazz",2023-11-22
1037812,"Los Angeles Lakers","Dallas Mavericks",2023-11-22
3277498,"Orlando Magic","Boston Celtics",2023-11-24
3277499,"Memphis Grizzlies","Phoenix Suns",2023-11-24
3277500,"New York Knicks","Miami Heat",2023-11-24
3277501,"Toronto Raptors","Chicago Bulls",2023-11-24
3277502,"Indiana Pacers","Detroit Pistons",2023-11-24
3277503,"Houston Rockets","Denver Nuggets",2023-11-24
3277504,"Milwaukee Bucks","Washington Wizards",2023-11-24
3277505,"Minnesota Timberwolves","Sacramento Kings",2023-11-24
3277506,"Golden State Warriors","San Antonio Spurs",2023-11-24
3277507,"LA Clippers","New Orleans Pelicans",2023-11-24
1037824,"Brooklyn Nets","Miami Heat",2023-11-25
1037825,"Washington Wizards","Atlanta Hawks",2023-11-25
1037826,"Cleveland Cavaliers","Los Angeles Lakers",2023-11-25
1037827,"Utah Jazz","New Orleans Pelicans",2023-11-25
1037828,"LA Clippers","Dallas Mavericks",2023-11-25
1037823,"Oklahoma City Thunder","Philadelphia 76ers",2023-11-25
1037829,"Milwaukee Bucks","Portland Trail Blazers",2023-11-26
1037830,"Boston Celtics","Atlanta Hawks",2023-11-26
1037831,"New York Knicks","Phoenix Suns",2023-11-26
1037832,"Orlando Magic","Charlotte Hornets",2023-11-26
1037833,"Memphis Grizzlies","Minnesota Timberwolves",2023-11-26
1037834,"Brooklyn Nets","Chicago Bulls",2023-11-26
1037835,"Cleveland Cavaliers","Toronto Raptors",2023-11-26
1037836,"Denver Nuggets","San Antonio Spurs",2023-11-26
1037837,"Detroit Pistons","Washington Wizards",2023-11-27
1037838,"Indiana Pacers","Portland Trail Blazers",2023-11-27
1037839,"Philadelphia 76ers","Los Angeles Lakers",2023-11-27
1037840,"Utah Jazz","New Orleans Pelicans",2023-11-27
1037841,"LA Clippers","Denver Nuggets",2023-11-27
3277527,"Boston Celtics","Chicago Bulls",2023-11-28
3277528,"Brooklyn Nets","Toronto Raptors",2023-11-28
3277529,"Cleveland Cavaliers","Atlanta Hawks",2023-11-28
3277530,"Miami Heat","Milwaukee Bucks",2023-11-28
3277531,"New York Knicks","Charlotte Hornets",2023-11-28
3277532,"Minnesota Timberwolves","Oklahoma City Thunder",2023-11-28
3277533,"Dallas Mavericks","Houston Rockets",2023-11-28
3277534,"Sacramento Kings","Golden State Warriors",2023-11-28
1037855,"Denver Nuggets","Houston Rockets",2023-11-29
1037856,"Sacramento Kings","LA Clippers",2023-11-29
1037854,"New Orleans Pelicans","Philadelphia 76ers",2023-11-29
1037853,"Memphis Grizzlies","Utah Jazz",2023-11-29
1037852,"Toronto Raptors","Phoenix Suns",2023-11-29
1037851,"Orlando Magic","Washington Wizards",2023-11-29
1037850,"Detroit Pistons","Los Angeles Lakers",2023-11-29
1037864,"San Antonio Spurs","Atlanta Hawks",2023-11-30
1037865,"Golden State Warriors","LA Clippers",2023-11-30
1037863,"Oklahoma City Thunder","Los Angeles Lakers",2023-11-30
1037857,"Cleveland Cavaliers","Portland Trail Blazers",2023-11-30
1037858,"Brooklyn Nets","Charlotte Hornets",2023-11-30
1037859,"Miami Heat","Indiana Pacers",2023-11-30
1037860,"New York Knicks","Detroit Pistons",2023-11-30
1037861,"Chicago Bulls","Milwaukee Bucks",2023-11-30
1037862,"Minnesota Timberwolves","Utah Jazz",2023-11-30
1037866,"Orlando Magic","Washington Wizards",2023-12-01
1037867,"Boston Celtics","Philadelphia 76ers",2023-12-01
1037868,"Toronto Raptors","New York Knicks",2023-12-01
1037869,"Dallas Mavericks","Memphis Grizzlies",2023-12-01
1037871,"Phoenix Suns","Denver Nuggets",2023-12-01
1037870,"New Orleans Pelicans","San Antonio Spurs",2023-12-01
1037881,"Utah Jazz","Portland Trail Blazers",2023-12-02
1037875,"Detroit Pistons","Cleveland Cavaliers",2023-12-02
1037876,"Miami Heat","Indiana Pacers",2023-12-02
1037877,"Chicago Bulls","New Orleans Pelicans",2023-12-02
1037878,"Milwaukee Bucks","Atlanta Hawks",2023-12-02
1037879,"Dallas Mavericks","Oklahoma City Thunder",2023-12-02
1037880,"Phoenix Suns","Memphis Grizzlies",2023-12-02
1037872,"LA Clippers","Golden State Warriors",2023-12-02
1037873,"Charlotte Hornets","Minnesota Timberwolves",2023-12-02
1037874,"Brooklyn Nets","Orlando Magic",2023-12-02
1037882,"Sacramento Kings","Denver Nuggets",2023-12-02
