"game_ID","away_team","home_team","game_times"
"20fcedb4dd290caf2f4604977dd07ca2","Chicago Bulls","Milwaukee Bucks","2023-11-13"
"e5c712d4d6d7c60f6a0714f3558696bd","Cleveland Cavaliers","Sacramento Kings","2023-11-13"
"cff113feb71a682a6af7fc63a8ec7260","Miami Heat","Charlotte Hornets","2023-11-14"
"f7800e694d6ceea52db36f30a7d86b31","Atlanta Hawks","Detroit Pistons","2023-11-14"
"1a53d5554307d587b57eb4b30cd06e11","Indiana Pacers","Philadelphia 76ers","2023-11-14"
"cab42e2a0a620c893ecedc71bbfcf1f7","Orlando Magic","Brooklyn Nets","2023-11-14"
"1acac291f340c497d1448272b1cef003","San Antonio Spurs","Oklahoma City Thunder","2023-11-14"
"7a6d4840a0f37825b16b6799b523e322","Dallas Mavericks","New Orleans Pelicans","2023-11-14"
"a4d381df8daf44002a8e333f147d86e8","Portland Trail Blazers","Utah Jazz","2023-11-14"
"3a5e1ef0268a0a21b96f67471b198202","LA Clippers","Denver Nuggets","2023-11-14"
"a3508f758a37ab4b55fc4be99bdd47f8","Minnesota Timberwolves","Golden State Warriors","2023-11-14"
"edf20f8f66f61ab47fb00a6b8c533745","Memphis Grizzlies","Los Angeles Lakers","2023-11-14"
"33beed179be7b075e04593a275e86b05","Dallas Mavericks","Washington Wizards","2023-11-15"
"965edd86a62c7ee3d1b895210dc8f052","New York Knicks","Atlanta Hawks","2023-11-15"
"0e492f23fe143a191248260bdd127f08","Boston Celtics","Philadelphia 76ers","2023-11-15"
"516f79d9b32d6565eceb5d48cc9704e2","Milwaukee Bucks","Toronto Raptors","2023-11-15"
"97bfe2812c7fb95bd57d6d4283a1b46c","Orlando Magic","Chicago Bulls","2023-11-15"
"5ea72160d2061c9541533273794be107","Minnesota Timberwolves","Phoenix Suns","2023-11-15"
"31b7247f5f90eaeaf6b8f5deb62933ec","Sacramento Kings","Los Angeles Lakers","2023-11-15"
"6aad96d7506ea4531a5ad3636b6e2232","Cleveland Cavaliers","Portland Trail Blazers","2023-11-15"
"b4c1239d3114937929b8aa44f79cac32","Brooklyn Nets","Miami Heat","2023-11-16"
"0bcd8cee9282bdd931e6f6185e90441f","Oklahoma City Thunder","Golden State Warriors","2023-11-16"
"09e447b495e2c72b898d610799451ee9","Milwaukee Bucks","Charlotte Hornets","2023-11-17"
"cc0f6d48bf0dfcd28f45dd69ff9b4b22","New York Knicks","Washington Wizards","2023-11-17"
"458b3556cc9f703d6b1ec69c2bc18628","Philadelphia 76ers","Atlanta Hawks","2023-11-17"
"4136730ceb1dd9ac6755505525002493","Detroit Pistons","Cleveland Cavaliers","2023-11-17"
"9f3a61f5908bbf9b45332056c3534d3d","Boston Celtics","Toronto Raptors","2023-11-17"
"ca75c4e0d67c2869366e1cd3ad6d68c3","Sacramento Kings","San Antonio Spurs","2023-11-17"
"1cc909a8b61b525587ba1c48c60bbf5c","Orlando Magic","Chicago Bulls","2023-11-17"
"5c6e12a72ec7523d645c52dcac935be4","Denver Nuggets","New Orleans Pelicans","2023-11-17"
"99036e204c6a1e71802e54c497093bb0","Phoenix Suns","Utah Jazz","2023-11-17"
"14c0c755d1e7569e2a79bd9d662ae64b","Los Angeles Lakers","Portland Trail Blazers","2023-11-17"
"68c1f41c21ede26d742e8d1d3f5d7e89","Houston Rockets","LA Clippers","2023-11-17"
"21a0e53e6ba56b24397a41ddfd038568","New York Knicks","Charlotte Hornets","2023-11-18"
"f9e2dde2289207a5d5d50c18252608b3","Minnesota Timberwolves","New Orleans Pelicans","2023-11-18"
