"ast","blk","dreb","fg3a","fg3m","fga","fgm","fta","ftm","min","oreb","pf","pts","reb","stl","turnover","game.id","game.date","game.home_team_id","game.postseason","game.visitor_team_id","player.id","player.position","player.team_id","team.id","team.full_name","player_name","blk_stl","pts_rebs","pts_rebs_ast","pts_ast","rebs_ast","fantasy"
2,0,3,0,0,5,3,1,1,"19",1,5,7,4,0,1,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,3547244,"F-C",1,1,"Atlanta Hawks","Onyeka Okongwu",0,11,13,9,6,13.8
9,0,1,9,1,19,4,15,14,"36",0,3,23,1,1,5,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,490,"G",1,1,"Atlanta Hawks","Trae Young",1,24,33,32,10,35.7
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677855,"G",1,1,"Atlanta Hawks","Seth Lundy",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,301,"G-F",1,1,"Atlanta Hawks","Wesley Matthews",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677875,"F",1,1,"Atlanta Hawks","Miles Norris",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,62,"F",4,4,"Charlotte Hornets","Miles Bridges",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,666748,"F",4,4,"Charlotte Hornets","Cody Martin",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,38017708,"G",4,4,"Charlotte Hornets","Bryce McGowens",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,347,"G",4,4,"Charlotte Hornets","Frank Ntilikina",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,422,"G",4,4,"Charlotte Hornets","Ish Smith",0,0,0,0,0,0
1,0,2,4,1,9,4,1,0,"31",2,6,9,4,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,666656,"F",1,1,"Atlanta Hawks","De'Andre Hunter",0,13,14,10,5,15.3
0,0,2,4,1,12,6,2,2,"29",3,1,15,5,5,2,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,3547256,"F",1,1,"Atlanta Hawks","Saddiq Bey",5,20,20,15,5,34
0,0,7,0,0,10,6,4,3,"29",6,1,15,13,1,2,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,83,"C",1,1,"Atlanta Hawks","Clint Capela",1,28,28,15,13,31.6
6,0,2,3,0,14,3,6,5,"33",0,0,11,2,0,1,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,334,"G",1,1,"Atlanta Hawks","Dejounte Murray",0,13,19,17,8,21.4
1,0,1,3,1,7,2,0,0,"20",1,0,5,2,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,18678001,"F",4,4,"Charlotte Hornets","JT Thor",0,7,8,6,3,8.9
1,1,3,0,0,2,2,4,3,"18",1,3,7,4,0,2,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,3547282,"C",4,4,"Charlotte Hornets","Nick Richards",1,11,12,8,5,14.3
4,0,3,2,0,5,2,0,0,"16",0,3,4,3,0,1,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,3547253,"G",4,4,"Charlotte Hornets","Theo Maledon",0,7,11,8,7,12.6
0,0,0,0,0,0,0,0,0,"01",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677846,"G",4,4,"Charlotte Hornets","Nick Smith Jr.",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677848,"G",4,4,"Charlotte Hornets","Amari Bailey",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677866,"F",4,4,"Charlotte Hornets","Leaky Black",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,17896037,"G",4,4,"Charlotte Hornets","James Bouknight",0,0,0,0,0,0
1,0,2,8,6,11,8,2,2,"27",1,3,24,3,1,1,1037596,"2023-10-25T00:00:00.000Z",12,FALSE,30,69,"G",12,12,"Indiana Pacers","Bruce Brown",1,27,28,25,4,31.1
1,0,3,5,2,9,4,1,1,"19",1,0,11,4,1,0,1037596,"2023-10-25T00:00:00.000Z",12,FALSE,30,3547243,"F",12,12,"Indiana Pacers","Obi Toppin",1,15,16,12,5,20.3
1,3,8,2,0,8,5,2,1,"23",0,4,11,8,0,2,1037596,"2023-10-25T00:00:00.000Z",12,FALSE,30,452,"C-F",12,12,"Indiana Pacers","Myles Turner",3,19,20,12,9,29.1
